Nama Objek,Tgl Penilaian,Alamat,RT/RW,Desa,Kecamatan,Kota,Provinsi,Koordinat,Jumlah Satuan,Luas Tanah,Luas Bangunan,Indikasi Nilai Tanah,Nilai Objek,Total Nilai,Klasifikasi,Jenis_Objek,Jenis Objek Lainnya,Tujuan Penilaian,Tujuan Penilaian Lainnya,Pendekatan Penilaian,Pendekatan Penilaian Lainnya,Metode Penilaian1,Metode Penilaian Lainnya1,Metode Penilaian2,Metode Penilaian Lainnya2,Dasar Nilai,Dasar Nilai Lainnya,Latitude,Longitude
Rumah Tinggal,5 Januari 2021,"Perumahan Cimone Mas Permai 2, Jl. Ambon Blok A II No. 12",0,Cimone,Karawaci,Kota Tangerang,Banten,"-6.1908273, 106.6117413",1,187,54,"Rp4.652.500,00","Rp948.000.000,00","Rp948.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pendapatan,(NULL),Lainnya,Biaya pengganti,(NULL),(NULL),Nilai Pasar,(NULL),-6.1908273,106.6117413
Rumah Tinggal,19 Desember 2020,"Komplek Green Lake City, Jalan Asia 8 No. 80",000/000,Gondrong,Cipondoh,Kota Tangerang,Banten,"-6.1904033, 106.6980614",1,90,168,"Rp15.339.000,00","Rp1.790.400.000,00","Rp1.790.400.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Kalkulasi biaya dan perbandingan langsung,(NULL),(NULL),Nilai Pasar,(NULL),-6.1904033,106.6980614
Rumah Tinggal,4 Januari 2021,"Perumahan Poris Indah, Jalan Palem 6, Blok E, No. 783, RT. 014, RW. 005",014/005,Cipondoh,Cipondoh,Kota Tangerang,Banten,"-6.180773, 106.6867713",1,90,136,"Rp7.350.000,00","Rp1.232.700.000,00","Rp1.232.700.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,biaya pengganti,Lainnya,-,Nilai Pasar,(NULL),-6.180773,106.6867713
Gudang,10 Desember 2020,jalan industri raya blok B no. 5,000/000,Pasir Jaya,Jati Uwung,Kota Tangerang,Banten,"-6.2000429, 106.5658486",1,5420,3436,"Rp3.512.000,00","Rp26.412.700.000,00","Rp26.412.700.000,00",Properti,Gudang,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Kalkulasi biaya dan perbandingan langsung,(NULL),(NULL),Nilai Pasar,(NULL),-6.2000429,106.5658486
Rumah Tinggal,18 Desember 2020,Jalan Gatot Subroto KM 7 No. 32,004/001,Jatake,Jati Uwung,Kota Tangerang,Banten,"-6.1988607, 106.5752933",1,428,248,"Rp771.540.000,00","Rp2.463.900.000,00","Rp2.463.900.000,00",Properti,Rumah Tinggal,(NULL),Lelang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Kalkulasi biaya dan perbandingan langsung,(NULL),(NULL),(NULL),(NULL),-6.1988607,106.5752933
Rumah Tinggal,8 Januari 2021,"Perumahan Villa Ilhami, Jalan Mina XV, Blok J-3 No. 12A",-,Panunggangan Barat,Cibodas,Kota Tangerang,Banten,"-6.225467, 106.6223543",1,90,89,"Rp7.180.000,00","Rp922.100.000,00","Rp922.100.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Pasar,(NULL),Perbandingan Data Pasar,Biaya pengganti,Lainnya,-,Nilai Pasar,(NULL),-6.225467,106.6223543
Rumah Tinggal,21 Juli 2021,"Perumahan Taman Royal, Cluster Pinus, Jalan Pinus IX No. 28, Kel. Tanah Tinggi, Kec. Tangerang, Kota Tangerang",-,Tanah Tinggi,Tangerang,Kota Tangerang,Banten,"-6.1805988, 106.656818",1,88,"55,5","Rp7.480.000,00","Rp771.100.000,00","Rp771.100.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),(NULL),(NULL),Nilai Pasar,(NULL),-6.1805988,106.656818
Rumah Tinggal,15 Januari 2021,"Komplek Pondok Arum, Blok G1 No.12, RT.002/RW.005, Kel. Nambo Jaya, Kec. Karawaci, Kota Tangerang, Banten",002/005,Nambo Jaya,Karawaci,Kota Tangerang,Banten,"-6.164007, 106.6076523",1,84,"61,50","Rp1.968.000,00","Rp222.000.000,00","Rp222.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Perbandingan Data Pasar dan Biaya Pengganti Baru yang di Terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),-6.164007,106.6076523
Rumah Tinggal,19 Januari 2021,"Cluster Aleyra Residence Blok AR 4 No.27, RT.008/RW.05, Kel. Buaran Indah, Kec. Tangerang, Kota Tangerang, Banten",008/05,Buaran Indah,Tangerang,Kota Tangerang,Banten,"-6.182761, 106.6542503",1,96,69,"Rp6.100.000,00","Rp798.000.000,00","Rp798.000.000,00",Properti Sederhana,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Lainnya,Perbandingan Data Pasar dan Biaya Pengganti Baru yang di Terdepresiasi,(NULL),(NULL),Nilai Pasar,(NULL),-6.182761,106.6542503
Rumah Tinggal,29 Juni 2021,Jl. Tanah Seratus No. 45,002/003,Sudimara Jaya,Ciledug,Kota Tangerang,Banten,"-6.237074, 106.7139595",1,80,160,"Rp4.040.000,00","Rp697.300.000,00","Rp697.300.000,00",Properti,Rumah Tinggal,(NULL),Penjamin Utang,(NULL),Pendekatan Biaya,(NULL),Biaya Pengganti,(NULL),Biaya Reproduksi,(NULL),Nilai Pasar,(NULL),-6.237074,106.7139595
